name,class,moa,metabolism
Warfarin,Anticoagulant,Vitamin K antagonist,"CYP2C9, CYP3A4"
Amiodarone,Antiarrhythmic,Class III K+ channel blocker,"CYP3A4, CYP2C8"
Simvastatin,Statin (HMG-CoA Reductase),Inhibits HMG-CoA reductase,CYP3A4
Clopidogrel,Antiplatelet,P2Y12 receptor antagonist,CYP2C19
Fluoxetine,SSRI Antidepressant,Serotonin reuptake inhibitor,CYP2D6
Rifampin,Antibiotic,RNA polymerase inhibitor,CYP Inducer (Strong)
Digoxin,Cardiac Glycoside,Na+/K+ ATPase inhibitor,P-glycoprotein substrate
Spironolactone,Diuretic (K-sparing),Aldosterone antagonist,Hepatic
Lisinopril,ACE Inhibitor,Inhibits Angiotensin II formation,Renal (Not metabolized)
Metoprolol,Beta-Blocker,Selective B1 antagonist,CYP2D6
Clarithromycin,Macrolide Antibiotic,50S Ribosomal inhibitor,CYP3A4 inhibitor
Lithium,Mood Stabilizer,Unknown; modifies ion transport,Renal (Not metabolized)
Ibuprofen,NSAID,COX-1 and COX-2 inhibitor,CYP2C9
Sildenafil,PDE5 Inhibitor,"Inhibits PDE5, increases cGMP",CYP3A4
Nitroglycerin,Vasodilator,NO donor; increases cGMP,Liver (High first-pass)
Omeprazole,Proton Pump Inhibitor,H+/K+ ATPase inhibitor,CYP2C19
St. John’s Wort,Herbal Supplement,Various (reuptake inhibition),CYP3A4 Inducer
Phenytoin,Anticonvulsant,Sodium channel blocker,CYP2C9
Grapefruit Juice,Dietary,,CYP3A4 Inhibitor (Gut)
Metformin,Biguanide,AMPK activator,Renal (Not metabolized)
